Time (ms), Ch 0 (volts)
  0.00000,       3.4172
  0.00025,       3.4268
  0.00050,       3.4268
  0.00075,       3.4244
  0.00100,       3.4196
  0.00125,       3.4293
  0.00150,       3.4268
  0.00175,       3.4220
  0.00200,       3.4220
  0.00225,       3.4268
  0.00250,       3.4244
  0.00275,       3.4220
  0.00300,       3.4268
  0.00325,       3.4244
  0.00350,       3.4099
  0.00375,       3.4293
  0.00400,       3.4196
  0.00425,       3.4220
  0.00450,       3.4196
  0.00475,       3.4268
  0.00500,       3.4196
  0.00525,       3.4293
  0.00550,       3.4244
  0.00575,       3.4268
  0.00600,       3.4220
  0.00625,       3.4268
  0.00650,       3.4220
  0.00675,       3.4244
  0.00700,       3.4244
  0.00725,       3.4268
  0.00750,       3.4220
  0.00775,       3.4293
  0.00800,       3.4220
  0.00825,       3.4293
  0.00850,       3.4220
  0.00875,       3.4244
  0.00900,       3.4244
  0.00925,       3.4268
  0.00950,       3.4220
  0.00975,       3.4268
  0.01000,       3.4196
  0.01025,       3.4244
  0.01050,       3.4220
  0.01075,       3.4220
  0.01100,       3.4220
  0.01125,       3.4220
  0.01150,       3.3737
  0.01175,       3.4268
  0.01200,       3.4317
  0.01225,       3.4244
  0.01250,       3.4196
  0.01275,       3.4244
  0.01300,       3.4172
  0.01325,       3.4220
  0.01350,       3.4220
  0.01375,       3.4220
  0.01400,       3.4196
  0.01425,       3.4293
  0.01450,       3.4244
  0.01475,       3.4244
  0.01500,       3.4220
  0.01525,       3.4268
  0.01550,       3.4244
  0.01575,       3.4268
  0.01600,       3.4268
  0.01625,       3.4317
  0.01650,       3.4268
  0.01675,       3.4293
  0.01700,       3.4244
  0.01725,       3.4268
  0.01750,       3.4220
  0.01775,       3.4244
  0.01800,       3.4196
  0.01825,       3.4244
  0.01850,       3.4268
  0.01875,       3.0593
  0.01900,       2.9384
  0.01925,       2.5250
  0.01950,       2.3606
  0.01975,       1.9230
  0.02000,       1.7779
  0.02025,       1.3403
  0.02050,       1.1855
  0.02075,       0.7189
  0.02100,       0.5617
  0.02125,       0.1048
  0.02150,       0.0661
  0.02175,       0.0612
  0.02200,       0.0636
  0.02225,       0.0661
  0.02250,       0.0661
  0.02275,       0.0709
  0.02300,       0.0661
  0.02325,       0.0685
  0.02350,       0.0685
  0.02375,       0.0685
  0.02400,       0.0685
  0.02425,       0.0685
  0.02450,       0.0661
  0.02475,       0.0685
  0.02500,       0.0757
  0.02525,       0.0709
  0.02550,       0.0685
  0.02575,       0.0612
  0.02600,       0.0709
  0.02625,       0.0757
  0.02650,       0.0661
  0.02675,       0.0709
  0.02700,       0.0661
  0.02725,       0.0685
  0.02750,       0.0636
  0.02775,       0.0709
  0.02800,       0.0661
  0.02825,       0.0661
  0.02850,       0.0636
  0.02875,       0.0661
  0.02900,       0.0661
  0.02925,       0.0709
  0.02950,       0.0709
  0.02975,       0.0661
  0.03000,       0.0685
  0.03025,       0.0733
  0.03050,       0.0636
  0.03075,       0.0709
  0.03100,       0.0709
  0.03125,       0.0709
  0.03150,       0.0685
  0.03175,       0.0685
  0.03200,       0.0685
  0.03225,       0.0685
  0.03250,       0.0661
  0.03275,       0.0709
  0.03300,       0.0685
  0.03325,       0.0661
  0.03350,       0.0685
  0.03375,       0.0733
  0.03400,       0.0685
  0.03425,       0.0709
  0.03450,       0.0661
  0.03475,       0.0685
  0.03500,       0.0636
